"Pastel", https://coolors.co/palette/d8e2dc-ffe5d9-ffcad4-f4acb7-9d8189, #d8e2dc, #ffe5d9, #ffcad4, #f4acb7, #9d8189
"Wine",https://coolors.co/palette/ffcdb2-ffb4a2-e5989b-b5838d-6d6875, #ffcdb2, #ffb4a2, #e5989b, #b5838d, #6d6875
"Blues",https://coolors.co/palette/0a369d-4472ca-5e7ce2-92b4f4-cfdee7, #0a369d, #4472ca, #5e7ce2, #92b4f4, #cfdee7
"Divergent",https://coolors.co/0fa3b1-b5e2fa-f9f7f3-eddea4-f7a072, #0fa3b1, #b5e2fa, #f9f7f3, #eddea4, #f7a072
"Pink-Blue",https://coolors.co/palette/ff499e-d264b6-a480cf-779be7-49b6ff, #ff499e, #d264b6, #a480cf, #779be7, #49b6ff
"Blue-Pink",https://coolors.co/palette/2d00f7-6a00f4-8900f2-a100f2-b100e8-bc00dd-d100d1-db00b6-e500a4-f20089, #2d00f7, #6a00f4, #8900f2, #a100f2, #b100e8, #bc00dd, #d100d1, #db00b6, #e500a4, #f20089
"Blue-Brown",https://coolors.co/palette/9381ff-b8b8ff-f8f7ff-ffeedd-ffd8be, #9381ff, #b8b8ff, #f8f7ff, #ffeedd, #ffd8be
"California Sunset", https://www.schemecolor.com/california-sunset.php, #ea4073, #ea8246, #eab42e, #ecd915, #8ac2e5
"California Coast", https://www.color-hex.com/color-palette/10908, #49a596, #86c3b4, #c8dcc3, #f0e1c5, #bad2dd
"California English", https://www.color-hex.com/color-palette/2895, #875346, #f5565b, #fb9274, #f7e4c6, #cddbc2
"California Wine Sunset", https://www.color-hex.com/color-palette/107525, #1e1a75, #a11477, #e13661, #ff6f4b, #ffa951
"Sunset Beach Music", https://www.schemecolor.com/sunset-beach-music.php, #6B41BF, #A25ED9, #F978A7, #FFBA5E, #EC835C, #c83f53
"Light Sunset", https://www.schemecolor.com/light-sunset.php, #9492AD, #A9A7BC, #C6B6C0, #DFCCC8, #F4DBC5, #FDF6EE
"Pastel Galaxy", https://www.schemecolor.com/pastel-galaxy.php, #C1D0F9, #D6F6F6, #FBFBF7, #FEF0FB, #FEDEF7, #E1CCEE
"Pastel Leaves", https://www.schemecolor.com/pastel-leaves.php, #B199BF, #E6AFC3, #FFCC9C, #FEEEB9, #C5D9AB
"Soft Unicorn", https://www.schemecolor.com/soft-unicorn-2.php, #d4c4e9, #EED3E5, #f7e7dc, #f4f3ea, #c2cbe4, #c0deda
"Pastels of Blue & Violet", https://www.schemecolor.com/pastels-of-blue-violet.php, #A2A2E0, #C9B4ED, #DFCCED, #BFD9FF, ##AAC4F2
"Dusty Sunset", https://www.schemecolor.com/dusty-sunset.php, #BE6F6F, #DA9B88, #E9C3AE, #E9D9B9, #B5AED2, #9979AC
"Gentle Sunset", https://www.schemecolor.com/gentle-sunset-color-combination.php, #ddc4f7, #f1d4fa, #fdb0c5, #fb8caa, #9550a3
